
method,ccn,ccn2,cloc,eloc,lloc,loc,ncloc,npath
privConvertHeader2FileInfo,1.0,1.0,2.0,16.0,14.0,21.0,19.0,1.0,  
privExtractByRule,41.0,60.0,67.0,200.0,121.0,329.0,262.0,1.5863064E8,  
privExtractFile,41.0,49.0,80.0,183.0,105.0,341.0,261.0,4374720.0,  
privExtractFileUsingTempFile,8.0,8.0,12.0,43.0,35.0,68.0,56.0,288.0,  
privExtractFileInOutput,12.0,12.0,30.0,50.0,35.0,103.0,73.0,320.0,  
privExtractFileAsString,13.0,13.0,34.0,54.0,35.0,113.0,79.0,400.0,  
privReadFileHeader,5.0,6.0,22.0,52.0,38.0,95.0,73.0,24.0,  
privReadCentralFileHeader,8.0,8.0,24.0,51.0,36.0,98.0,74.0,128.0,  
privCheckFileHeaders,8.0,8.0,4.0,21.0,12.0,29.0,25.0,128.0,  
privReadEndCentralDir,15.0,15.0,40.0,81.0,56.0,149.0,109.0,3000.0,  
privDeleteByRule,35.0,43.0,75.0,164.0,111.0,297.0,222.0,745992.0,  
privDirCheck,7.0,9.0,9.0,28.0,14.0,46.0,37.0,72.0,  
privMerge,17.0,17.0,40.0,101.0,75.0,177.0,137.0,331776.0,  
privDuplicate,6.0,6.0,12.0,29.0,19.0,53.0,41.0,48.0,  
privErrorLog,2.0,2.0,0.0,9.0,4.0,10.0,10.0,2.0,  
privErrorReset,2.0,2.0,0.0,9.0,4.0,10.0,10.0,2.0,  
privDisableMagicQuotes,4.0,5.0,5.0,15.0,9.0,26.0,21.0,12.0,  
privSwapBackMagicQuotes,4.0,5.0,4.0,14.0,8.0,23.0,19.0,12.0,  
__construct,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,  
abspath,2.0,3.0,1.0,6.0,4.0,7.0,6.0,3.0,  
wp_content_dir,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_plugins_dir,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_themes_dir,2.0,3.0,1.0,6.0,4.0,9.0,8.0,3.0,  
wp_lang_dir,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
find_base_dir,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
get_base_dir,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
find_folder,14.0,14.0,7.0,45.0,32.0,55.0,48.0,592.0,  
search_for_folder,11.0,13.0,12.0,32.0,27.0,53.0,41.0,594.0,  
gethchmod,23.0,23.0,11.0,35.0,26.0,41.0,30.0,2.74624992E8,  
getnumchmodfromh,3.0,3.0,0.0,16.0,14.0,19.0,19.0,3.0,  
is_binary,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,  
chown,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
connect,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_contents,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_contents_array,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
put_contents,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
cwd,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
chdir,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
chgrp,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
chmod,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
owner,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
group,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
copy,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
move,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
delete,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
