
method,ccn,ccn2,cloc,eloc,lloc,loc,ncloc,npath
get,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
set,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_search_sql,5.0,7.0,0.0,13.0,9.0,15.0,15.0,75.0,  
get_results,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_total,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
_splitOnWords,1.0,1.0,0.0,6.0,4.0,6.0,6.0,1.0,  
start_lvl,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,  
end_lvl,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,  
start_el,13.0,18.0,3.0,169.0,105.0,179.0,176.0,120000.0,  
__construct,2.0,2.0,0.0,5.0,2.0,5.0,5.0,2.0,  
start_lvl,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
end_lvl,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
start_el,10.0,13.0,2.0,32.0,29.0,42.0,40.0,31250.0,  
start_lvl,2.0,2.0,0.0,6.0,4.0,7.0,7.0,2.0,  
end_lvl,2.0,2.0,0.0,6.0,4.0,7.0,7.0,2.0,  
start_el,12.0,14.0,0.0,51.0,41.0,62.0,62.0,540.0,  
end_el,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
start_el,3.0,3.0,0.0,12.0,10.0,13.0,13.0,4.0,  
sanitize,6.0,6.0,0.0,23.0,13.0,23.0,23.0,18.0,  
__construct,2.0,2.0,0.0,4.0,2.0,4.0,4.0,2.0,  
add,13.0,13.0,1.0,55.0,41.0,65.0,64.0,1080.0,  
send,3.0,4.0,0.0,11.0,8.0,11.0,11.0,6.0,  
__construct,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,  
parse_settings,8.0,9.0,11.0,34.0,18.0,43.0,32.0,72.0,  
editor,11.0,13.0,1.0,49.0,40.0,66.0,65.0,1600.0,  
editor_settings,50.0,58.0,38.0,239.0,140.0,329.0,291.0,1.89759357E11,  
_parse_init,5.0,11.0,0.0,15.0,11.0,17.0,17.0,14.0,  
enqueue_scripts,6.0,8.0,0.0,18.0,14.0,23.0,23.0,72.0,  
editor_js,16.0,27.0,7.0,127.0,51.0,154.0,147.0,204120.0,  
wp_fullscreen_html,9.0,11.0,2.0,84.0,32.0,89.0,87.0,1000.0,  
wp_link_query,7.0,7.0,33.0,37.0,19.0,79.0,46.0,300.0,  
wp_link_dialog,3.0,3.0,0.0,55.0,15.0,55.0,55.0,4.0,  
__construct,3.0,3.0,0.0,7.0,5.0,9.0,9.0,4.0,  
get_error_codes,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
get_error_code,2.0,2.0,0.0,6.0,4.0,8.0,8.0,2.0,  
get_error_messages,4.0,4.0,1.0,12.0,8.0,15.0,14.0,6.0,  
get_error_message,3.0,3.0,0.0,8.0,6.0,8.0,8.0,4.0,  
get_error_data,3.0,3.0,0.0,7.0,5.0,8.0,8.0,4.0,  
add,2.0,2.0,0.0,5.0,3.0,5.0,5.0,2.0,  
add_data,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
__construct,5.0,5.0,2.0,18.0,14.0,21.0,19.0,51.0,  
query,10.0,10.0,6.0,42.0,32.0,59.0,53.0,1280.0,  
start_lvl,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,  
end_lvl,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,  
start_el,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,  
end_el,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,  
display_element,7.0,11.0,5.0,27.0,21.0,41.0,36.0,108.0,  
walk,14.0,15.0,17.0,45.0,36.0,72.0,55.0,1440.0,  
paged_walk,24.0,28.0,9.0,82.0,68.0,107.0,98.0,772200.0,  
get_number_of_root_elements,3.0,3.0,0.0,9.0,6.0,11.0,11.0,3.0,  
unset_children,5.0,7.0,0.0,11.0,9.0,16.0,16.0,24.0,  
add_query_var,2.0,2.0,0.0,4.0,2.0,4.0,4.0,2.0,  
set_query_var,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
parse_request,39.0,48.0,22.0,125.0,100.0,181.0,159.0,7.7270285E8,  
send_headers,20.0,32.0,8.0,71.0,46.0,91.0,83.0,384480.0,  
build_query_string,6.0,6.0,3.0,15.0,10.0,17.0,14.0,24.0,  
register_globals,5.0,7.0,1.0,16.0,12.0,21.0,20.0,90.0,  
init,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
query_posts,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
handle_404,6.0,14.0,6.0,22.0,16.0,34.0,28.0,176.0,  
main,1.0,1.0,0.0,9.0,7.0,9.0,9.0,1.0,  
start_lvl,4.0,4.0,0.0,14.0,11.0,15.0,15.0,4.0,  
end_lvl,4.0,4.0,0.0,14.0,11.0,15.0,15.0,4.0,  
display_element,4.0,5.0,2.0,12.0,9.0,20.0,18.0,8.0,  
start_el,4.0,6.0,0.0,16.0,11.0,18.0,18.0,10.0,  
end_el,3.0,3.0,0.0,10.0,6.0,10.0,10.0,4.0,  
ping,2.0,2.0,0.0,9.0,7.0,9.0,9.0,5.0,  
comment,7.0,7.0,1.0,37.0,23.0,39.0,38.0,160.0,  
html5_comment,5.0,5.0,0.0,34.0,17.0,35.0,35.0,100.0,  
start_lvl,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
end_lvl,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
start_el,12.0,12.0,49.0,30.0,26.0,89.0,40.0,2734375.0,  
end_el,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
start_lvl,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
end_lvl,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
start_el,11.0,12.0,1.0,32.0,26.0,41.0,40.0,240.0,  
end_el,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
start_el,2.0,2.0,0.0,10.0,8.0,11.0,11.0,2.0,  
__construct,1.0,1.0,0.0,6.0,4.0,7.0,7.0,1.0,  
init,3.0,3.0,0.0,10.0,8.0,13.0,13.0,4.0,  
admin_load,1.0,1.0,0.0,19.0,5.0,21.0,21.0,1.0,  
take_action,12.0,13.0,1.0,52.0,40.0,61.0,60.0,864.0,  
admin_page,10.0,11.0,3.0,155.0,66.0,160.0,157.0,432.0,  
handle_upload,4.0,4.0,5.0,32.0,24.0,48.0,43.0,8.0,  
attachment_fields_to_edit,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
filter_upload_tabs,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_set_background_image,3.0,4.0,1.0,14.0,13.0,16.0,15.0,6.0,  
__construct,1.0,1.0,0.0,5.0,3.0,6.0,6.0,1.0,  
init,3.0,3.0,0.0,12.0,10.0,14.0,14.0,4.0,  
help,1.0,1.0,0.0,31.0,4.0,34.0,34.0,1.0,  
step,3.0,8.0,0.0,11.0,6.0,13.0,13.0,14.0,  
js_includes,4.0,5.0,0.0,11.0,8.0,12.0,12.0,5.0,  
css_includes,3.0,5.0,0.0,7.0,5.0,8.0,8.0,5.0,  
take_action,10.0,12.0,0.0,34.0,28.0,40.0,40.0,224.0,  
process_default_headers,4.0,4.0,0.0,14.0,11.0,18.0,18.0,8.0,  
show_header_selector,6.0,6.0,0.0,29.0,23.0,31.0,31.0,44.0,  
js,3.0,5.0,0.0,7.0,5.0,7.0,7.0,5.0,  
js_1,2.0,2.0,0.0,49.0,3.0,49.0,49.0,2.0,  
js_2,4.0,5.0,0.0,68.0,7.0,68.0,68.0,12.0,  
step_1,25.0,29.0,5.0,190.0,89.0,202.0,197.0,544896.0,  
step_2,15.0,24.0,14.0,82.0,54.0,104.0,90.0,112320.0,  
step_2_manage_upload,3.0,3.0,2.0,23.0,15.0,31.0,29.0,4.0,  
step_3,17.0,27.0,14.0,70.0,55.0,103.0,89.0,1244160.0,  
finished,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
admin_page,4.0,4.0,0.0,11.0,8.0,11.0,11.0,6.0,  
attachment_fields_to_edit,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
filter_upload_tabs,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
set_header_image,6.0,9.0,0.0,36.0,23.0,43.0,43.0,40.0,  
remove_header_image,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
reset_header_image,4.0,4.0,0.0,16.0,12.0,20.0,20.0,6.0,  
ftp,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
__construct,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
_settimeout,2.0,2.0,0.0,8.0,5.0,8.0,8.0,2.0,  
_connect,2.0,2.0,0.0,10.0,7.0,10.0,10.0,2.0,  
_readmsg,6.0,6.0,0.0,23.0,19.0,23.0,23.0,16.0,  
_exec,5.0,5.0,0.0,15.0,13.0,15.0,15.0,16.0,  
_data_prepare,6.0,6.0,0.0,28.0,22.0,28.0,28.0,18.0,  
_data_read,6.0,6.0,0.0,15.0,14.0,15.0,15.0,20.0,  
_data_write,7.0,7.0,0.0,15.0,14.0,15.0,15.0,20.0,  
_data_write_block,4.0,4.0,0.0,11.0,8.0,11.0,11.0,6.0,  
_data_close,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
_quit,2.0,3.0,0.0,7.0,4.0,7.0,7.0,3.0,  
ftp,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
__construct,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
_settimeout,3.0,3.0,0.0,13.0,9.0,13.0,13.0,4.0,  
_connect,4.0,4.0,0.0,16.0,13.0,16.0,16.0,8.0,  
_readmsg,5.0,5.0,0.0,23.0,18.0,23.0,23.0,12.0,  
_exec,5.0,5.0,0.0,15.0,13.0,15.0,15.0,16.0,  
_data_prepare,14.0,14.0,0.0,63.0,49.0,63.0,63.0,576.0,  
_data_read,8.0,8.0,0.0,21.0,20.0,22.0,22.0,54.0,  
_data_write,8.0,8.0,0.0,21.0,19.0,21.0,21.0,30.0,  
_data_write_block,4.0,4.0,0.0,12.0,9.0,12.0,12.0,6.0,  
_data_close,1.0,1.0,0.0,6.0,4.0,6.0,6.0,1.0,  
_quit,2.0,2.0,0.0,7.0,4.0,7.0,7.0,2.0,  
__construct,4.0,4.0,0.0,12.0,5.0,15.0,15.0,50.0,  
ajax_user_can,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
prepare_items,14.0,16.0,1.0,61.0,34.0,83.0,82.0,1.875E7,  
get_per_page,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
no_items,2.0,2.0,0.0,7.0,4.0,8.0,8.0,2.0,  
get_views,8.0,9.0,9.0,31.0,19.0,44.0,35.0,630.0,  
get_bulk_actions,7.0,8.0,0.0,19.0,16.0,23.0,23.0,72.0,  
extra_tablenav,5.0,7.0,0.0,30.0,14.0,32.0,32.0,24.0,  
current_action,2.0,3.0,0.0,5.0,3.0,6.0,6.0,3.0,  
get_columns,3.0,3.0,0.0,11.0,9.0,16.0,16.0,4.0,  
get_sortable_columns,1.0,1.0,0.0,6.0,1.0,6.0,6.0,1.0,  
display,1.0,1.0,0.0,29.0,10.0,33.0,33.0,1.0,  
single_row,1.0,1.0,0.0,10.0,8.0,14.0,14.0,1.0,  
column_cb,2.0,2.0,0.0,7.0,5.0,7.0,7.0,2.0,  
column_comment,18.0,31.0,6.0,95.0,68.0,116.0,110.0,110408.0,  
column_author,7.0,7.0,0.0,26.0,24.0,29.0,29.0,40.0,  
column_date,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
column_response,4.0,5.0,0.0,24.0,18.0,27.0,27.0,12.0,  
column_default,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_column_info,1.0,1.0,0.0,11.0,2.0,12.0,12.0,1.0,  
get_table_classes,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
display,3.0,3.0,0.0,11.0,7.0,12.0,12.0,4.0,  
get_per_page,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
__construct,2.0,2.0,0.0,6.0,1.0,6.0,6.0,5.0,  
ajax_user_can,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
prepare_items,5.0,5.0,0.0,14.0,12.0,18.0,18.0,16.0,  
no_items,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_bulk_actions,1.0,1.0,0.0,5.0,3.0,6.0,6.0,1.0,  
extra_tablenav,2.0,2.0,0.0,23.0,6.0,24.0,24.0,2.0,  
get_columns,1.0,1.0,0.0,11.0,1.0,11.0,11.0,1.0,  
get_sortable_columns,1.0,1.0,0.0,8.0,1.0,8.0,8.0,1.0,  
display_rows,17.0,17.0,0.0,77.0,62.0,90.0,90.0,826.0,  
__construct,3.0,3.0,1.0,18.0,10.0,25.0,24.0,4.0,  
ajax_user_can,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
prepare_items,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
set_pagination_args,3.0,8.0,1.0,14.0,7.0,18.0,17.0,18.0,  
get_pagination_arg,3.0,3.0,0.0,6.0,4.0,7.0,7.0,4.0,  
has_items,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
no_items,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
search_box,6.0,7.0,0.0,20.0,14.0,22.0,22.0,48.0,  
get_views,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
views,3.0,3.0,0.0,12.0,9.0,14.0,14.0,4.0,  
get_bulk_actions,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
bulk_actions,5.0,5.0,1.0,21.0,16.0,28.0,27.0,24.0,  
current_action,3.0,5.0,0.0,7.0,5.0,9.0,9.0,9.0,  
row_actions,5.0,5.0,0.0,14.0,11.0,17.0,17.0,60.0,  
months_dropdown,5.0,7.0,9.0,32.0,15.0,48.0,39.0,60.0,  
view_switcher,3.0,3.0,0.0,17.0,5.0,18.0,18.0,6.0,  
comments_bubble,3.0,3.0,0.0,8.0,6.0,11.0,11.0,4.0,  
get_pagenum,3.0,4.0,0.0,6.0,4.0,8.0,8.0,15.0,  
get_items_per_page,2.0,3.0,0.0,6.0,4.0,7.0,7.0,3.0,  
pagination,8.0,8.0,0.0,59.0,31.0,76.0,76.0,192.0,  
get_columns,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_sortable_columns,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_column_info,5.0,5.0,0.0,18.0,15.0,25.0,25.0,10.0,  
get_column_count,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
print_column_headers,15.0,16.0,0.0,47.0,37.0,61.0,61.0,22332.0,  
display,2.0,2.0,0.0,24.0,9.0,26.0,26.0,2.0,  
get_table_classes,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
display_tablenav,2.0,2.0,0.0,18.0,6.0,18.0,18.0,2.0,  
extra_tablenav,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,  
display_rows_or_placeholder,2.0,2.0,0.0,10.0,6.0,10.0,10.0,2.0,  
display_rows,2.0,2.0,0.0,4.0,2.0,4.0,4.0,2.0,  
single_row,2.0,2.0,0.0,7.0,5.0,8.0,8.0,5.0,  
single_row_columns,5.0,5.0,0.0,25.0,18.0,29.0,29.0,7.0,  
ajax_response,4.0,4.0,0.0,19.0,15.0,26.0,26.0,8.0,  
_js_vars,1.0,1.0,0.0,10.0,2.0,11.0,11.0,1.0,  
__construct,2.0,3.0,0.0,7.0,2.0,8.0,8.0,5.0,  
ajax_user_can,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
prepare_items,2.0,3.0,0.0,13.0,7.0,18.0,18.0,2.0,  
get_views,12.0,16.0,0.0,26.0,23.0,32.0,32.0,13650.0,  
get_bulk_actions,2.0,2.0,0.0,7.0,5.0,8.0,8.0,2.0,  
extra_tablenav,4.0,8.0,0.0,17.0,8.0,19.0,19.0,20.0,  
current_action,4.0,6.0,0.0,9.0,7.0,12.0,12.0,18.0,  
has_items,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
no_items,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_columns,6.0,6.0,3.0,29.0,24.0,39.0,36.0,12.0,  
get_sortable_columns,1.0,1.0,0.0,9.0,1.0,9.0,9.0,1.0,  
display_rows,34.0,40.0,1.0,196.0,112.0,219.0,218.0,12376.0,  
_get_row_actions,14.0,20.0,0.0,37.0,27.0,40.0,40.0,230.0,  
__construct,2.0,2.0,0.0,6.0,1.0,6.0,6.0,5.0,  
ajax_user_can,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
prepare_items,23.0,29.0,5.0,76.0,54.0,97.0,92.0,2376000.0,  
no_items,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_bulk_actions,2.0,2.0,0.0,8.0,6.0,9.0,9.0,2.0,  
pagination,2.0,2.0,0.0,6.0,4.0,8.0,8.0,2.0,  
get_columns,3.0,3.0,0.0,14.0,6.0,17.0,17.0,10.0,  
get_sortable_columns,1.0,1.0,0.0,7.0,1.0,7.0,7.0,1.0,  
display_rows,34.0,34.0,1.0,156.0,102.0,176.0,175.0,68776.0,  
__construct,7.0,7.0,0.0,14.0,9.0,19.0,19.0,1500.0,  
get_table_classes,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,  
ajax_user_can,2.0,2.0,0.0,6.0,3.0,6.0,6.0,2.0,  
prepare_items,14.0,19.0,0.0,62.0,41.0,79.0,79.0,44160.0,  
_search_callback,6.0,6.0,1.0,14.0,11.0,19.0,18.0,24.0,  
_order_callback,5.0,5.0,0.0,11.0,8.0,14.0,14.0,20.0,  
no_items,2.0,2.0,0.0,6.0,3.0,6.0,6.0,2.0,  
get_columns,1.0,1.0,0.0,8.0,2.0,9.0,9.0,1.0,  
get_sortable_columns,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,  
get_views,11.0,11.0,0.0,37.0,27.0,42.0,42.0,121.0,  
get_bulk_actions,8.0,8.0,0.0,15.0,12.0,16.0,16.0,180.0,  
display_rows,2.0,2.0,0.0,4.0,2.0,4.0,4.0,2.0,  
single_row,20.0,25.0,1.0,81.0,66.0,106.0,105.0,435600.0,  
ajax_user_can,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
prepare_items,11.0,12.0,3.0,38.0,25.0,55.0,52.0,12000.0,  
get_bulk_actions,2.0,2.0,0.0,8.0,6.0,9.0,9.0,2.0,  
no_items,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_views,3.0,3.0,0.0,13.0,11.0,16.0,16.0,25.0,  
pagination,2.0,2.0,0.0,6.0,4.0,8.0,8.0,2.0,  
get_columns,1.0,1.0,0.0,12.0,3.0,13.0,13.0,1.0,  
get_sortable_columns,1.0,1.0,0.0,8.0,1.0,8.0,8.0,1.0,  
display_rows,26.0,27.0,0.0,113.0,87.0,137.0,137.0,29236.0,  
ajax_user_can,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
prepare_items,17.0,19.0,29.0,68.0,60.0,119.0,90.0,2848.0,  
no_items,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_views,3.0,3.0,0.0,10.0,7.0,12.0,12.0,6.0,  
display_tablenav,2.0,2.0,5.0,18.0,4.0,23.0,18.0,2.0,  
get_table_classes,1.0,1.0,0.0,4.0,2.0,5.0,5.0,1.0,  
get_columns,1.0,1.0,0.0,8.0,1.0,8.0,8.0,1.0,  
display_rows,15.0,16.0,12.0,67.0,50.0,90.0,78.0,774.0,  
__construct,4.0,5.0,0.0,13.0,8.0,17.0,17.0,30.0,  
get_table_classes,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
ajax_user_can,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
prepare_items,21.0,31.0,3.0,79.0,53.0,101.0,98.0,94848.0,  
_search_callback,4.0,4.0,0.0,9.0,7.0,11.0,11.0,6.0,  
_order_callback,5.0,5.0,0.0,11.0,8.0,14.0,14.0,20.0,  
no_items,2.0,2.0,0.0,7.0,4.0,8.0,8.0,2.0,  
get_columns,2.0,2.0,0.0,8.0,2.0,9.0,9.0,5.0,  
get_sortable_columns,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_views,12.0,12.0,0.0,39.0,30.0,43.0,43.0,85.0,  
get_bulk_actions,8.0,11.0,0.0,15.0,12.0,20.0,20.0,336.0,  
bulk_actions,2.0,2.0,0.0,6.0,4.0,8.0,8.0,2.0,  
extra_tablenav,5.0,8.0,0.0,13.0,11.0,17.0,17.0,14.0,  
current_action,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
display_rows,3.0,5.0,0.0,7.0,5.0,9.0,9.0,8.0,  
single_row,31.0,38.0,6.0,119.0,92.0,138.0,132.0,3822300.0,  
__construct,5.0,10.0,0.0,23.0,12.0,28.0,28.0,105.0,  
ajax_user_can,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
prepare_items,4.0,6.0,0.0,20.0,13.0,28.0,28.0,50.0,  
has_items,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
no_items,2.0,3.0,0.0,6.0,3.0,6.0,6.0,3.0,  
get_views,13.0,17.0,2.0,40.0,35.0,60.0,58.0,27040.0,  
get_bulk_actions,3.0,4.0,0.0,12.0,8.0,15.0,15.0,6.0,  
extra_tablenav,4.0,6.0,0.0,28.0,10.0,31.0,31.0,12.0,  
current_action,2.0,3.0,0.0,5.0,3.0,6.0,6.0,3.0,  
pagination,2.0,3.0,0.0,6.0,4.0,8.0,8.0,3.0,  
get_table_classes,2.0,2.0,0.0,3.0,1.0,3.0,3.0,5.0,  
get_columns,8.0,9.0,1.0,32.0,27.0,46.0,45.0,240.0,  
get_sortable_columns,1.0,1.0,0.0,8.0,1.0,8.0,8.0,1.0,  
display_rows,3.0,3.0,0.0,11.0,7.0,14.0,14.0,4.0,  
_display_rows,3.0,3.0,1.0,9.0,7.0,14.0,13.0,4.0,  
_display_rows_hierarchical,16.0,17.0,9.0,52.0,39.0,78.0,69.0,1296.0,  
_page_rows,9.0,10.0,2.0,34.0,27.0,44.0,42.0,66.0,  
single_row,49.0,57.0,3.0,217.0,151.0,257.0,254.0,1.15209648E8,  
inline_edit,50.0,61.0,25.0,325.0,154.0,368.0,343.0,6.6023103E14,  
__construct,5.0,6.0,1.0,18.0,12.0,26.0,25.0,60.0,  
ajax_user_can,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
prepare_items,6.0,6.0,2.0,24.0,14.0,31.0,29.0,60.0,  
has_items,1.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,  
get_bulk_actions,1.0,1.0,0.0,5.0,3.0,6.0,6.0,1.0,  
current_action,2.0,5.0,0.0,5.0,3.0,6.0,6.0,5.0,  
get_columns,3.0,3.0,0.0,15.0,6.0,17.0,17.0,6.0,  
get_sortable_columns,1.0,1.0,0.0,9.0,1.0,9.0,9.0,1.0,  
display_rows_or_placeholder,6.0,8.0,5.0,36.0,24.0,48.0,43.0,30.0,  
_rows,10.0,14.0,2.0,36.0,29.0,47.0,45.0,325.0,  
single_row,2.0,2.0,0.0,8.0,6.0,10.0,10.0,5.0,  
column_cb,2.0,3.0,0.0,7.0,4.0,9.0,9.0,3.0,  
column_name,4.0,5.0,0.0,27.0,24.0,34.0,34.0,12.0,  
column_description,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
column_slug,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
column_posts,5.0,5.0,0.0,17.0,13.0,23.0,23.0,16.0,  
column_links,2.0,2.0,0.0,6.0,4.0,6.0,6.0,2.0,  
column_default,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
inline_edit,5.0,5.0,0.0,47.0,19.0,53.0,53.0,12.0,  
ajax_user_can,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
prepare_items,16.0,18.0,5.0,71.0,61.0,96.0,91.0,4352.0,  
no_items,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_views,3.0,3.0,0.0,10.0,7.0,12.0,12.0,6.0,  
display,1.0,1.0,0.0,17.0,5.0,18.0,18.0,1.0,  
display_rows,2.0,2.0,1.0,10.0,4.0,11.0,10.0,2.0,  
single_row,7.0,7.0,0.0,55.0,34.0,67.0,67.0,20.0,  
theme_installer,1.0,1.0,0.0,21.0,3.0,21.0,21.0,1.0,  
theme_installer_single,1.0,1.0,0.0,12.0,2.0,12.0,12.0,1.0,  
install_theme_info,7.0,7.0,0.0,52.0,31.0,59.0,59.0,20.0,  
_js_vars,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
_get_theme_status,4.0,4.0,0.0,13.0,9.0,15.0,15.0,4.0,  
__construct,2.0,2.0,0.0,6.0,1.0,6.0,6.0,5.0,  
ajax_user_can,1.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,  
prepare_items,6.0,7.0,0.0,24.0,16.0,32.0,32.0,20.0,  
no_items,6.0,8.0,2.0,21.0,14.0,27.0,25.0,18.0,  
tablenav,2.0,2.0,0.0,11.0,4.0,11.0,11.0,2.0,  
display,1.0,1.0,0.0,11.0,4.0,12.0,12.0,1.0,  
get_columns,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
display_rows_or_placeholder,2.0,2.0,0.0,9.0,5.0,9.0,9.0,2.0,  
display_rows,9.0,10.0,0.0,70.0,41.0,80.0,80.0,481.0,  
search_theme,9.0,9.0,3.0,20.0,15.0,29.0,26.0,75.0,  
_js_vars,4.0,4.0,0.0,13.0,6.0,16.0,16.0,50.0,  
__construct,4.0,4.0,0.0,10.0,4.0,12.0,12.0,30.0,  
ajax_user_can,2.0,2.0,0.0,6.0,3.0,6.0,6.0,2.0,  
prepare_items,8.0,8.0,1.0,29.0,18.0,42.0,41.0,2000.0,  
no_items,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_views,6.0,6.0,1.0,32.0,26.0,39.0,38.0,50.0,  
get_bulk_actions,4.0,4.0,0.0,11.0,7.0,13.0,13.0,4.0,  
extra_tablenav,3.0,3.0,0.0,17.0,8.0,18.0,18.0,4.0,  
current_action,2.0,3.0,0.0,5.0,3.0,6.0,6.0,3.0,  
get_columns,2.0,2.0,0.0,13.0,4.0,15.0,15.0,2.0,  
get_sortable_columns,2.0,2.0,0.0,10.0,4.0,12.0,12.0,2.0,  
display_rows,8.0,9.0,1.0,19.0,14.0,24.0,23.0,452.0,  
single_row,17.0,22.0,4.0,78.0,66.0,97.0,93.0,16830.0,  
__construct,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
get_contents,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_contents_array,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
put_contents,3.0,3.0,0.0,14.0,12.0,22.0,22.0,4.0,  
cwd,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
chdir,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
chgrp,5.0,5.0,1.0,13.0,11.0,15.0,14.0,16.0,  
chmod,6.0,7.0,1.0,17.0,13.0,20.0,19.0,24.0,  
chown,5.0,5.0,1.0,13.0,10.0,14.0,13.0,16.0,  
